Price ,Milliage,Year
"$29,995",5,2023
"$25,986",6,2022
"$25,975",6,2022
"$23,988",9,2022
"$22,990",52,2022
"$25,995",55,2022
"$24,491",64,2022
"$24,491",64,2022
"$24,491",65,2022
"$24,491",67,2022
"$24,491",68,2022
"$24,491",69,2022
"$23,992",70,2022
"$24,491",74,2022
"$24,491",75,2022
"$24,491",77,2022
"$24,491",86,2022
"$23,992",99,2022
"$23,992",100,2022
"$24,491",102,2022
"$23,992",114,2022
"$25,377",123,2022
"$27,999",127,2022
"$24,499",147,2022
"$24,491",169,2022
"$24,491",198,2022
"$23,980",260,2023
"$29,463",275,2022
"$24,491",289,2022
"$22,744",301,2022
"$25,987",358,2022
"$23,991",382,2022
"$24,998",399,2022
"$25,200",419,2022
"$21,900",427,2021
"$25,998",427,2022
"$24,791",491,2022
"$29,991",657,2023
"$21,995",663,2021
"$24,499",821,2022
"$25,998",879,2023
"$24,000",930,2022
"$24,392",938,2022
"$25,495",974,2022
"$23,999",983,2022
"$21,995",1027,2022
"$24,491",1029,2022
"$21,999",1050,2020
"$25,990",1145,2022
"$24,999",1189,2022
"$24,981",1306,2020
"$24,956",1320,2022
"$19,399",1320,2021
"$20,998",1360,2022
"$23,446",1399,2022
"$25,750",1415,2022
"$20,950",1509,2022
"$23,990",1573,2022
"$22,998",1592,2022
"$26,998",1645,2022
"$22,188",1718,2016
"$24,990",1780,2022
"$22,127",1785,2022
"$22,999",1803,2022
"$20,862",1936,2021
"$23,990",1982,2022
"$23,999",2019,2022
"$24,990",2029,2022
"$26,998",2078,2022
"$22,199",2081,2022
"$20,498",2098,2022
"$20,787",2146,2019
"$21,980",2245,2020
"$24,990",2249,2022
"$25,477",2262,2022
"$24,486",2283,2022
"$22,998",2342,2019
"$26,899",2346,2022
"$25,998",2346,2022
"$22,431",2355,2022
"$21,327",2357,2021
"$23,500",2364,2022
"$22,791",2391,2022
"$24,983",2493,2022
"$24,992",2596,2022
"$25,998",2632,2020
"$23,998",2658,2022
"$23,590",2707,2022
"$22,595",2741,2020
"$24,000",2745,2022
"$23,483",2880,2022
"$22,490",2891,2022
"$23,822",2910,2022
"$23,816",2953,2021
"$23,000",2954,2022
"$22,495",2974,2022
"$26,365",3000,2022
"$24,911",3026,2022
"$25,999",3138,2022
"$23,744",3156,2022
"$23,990",3197,2022
"$22,959",3235,2021
"$23,473",3248,2022
"$22,998",3259,2020
"$22,550",3282,2022
"$23,998",3356,2022
"$20,000",3409,2019
"$21,229",3439,2022
"$24,590",3448,2022
"$17,890",3476,2021
"$20,950",3521,2020
"$21,793",3605,2020
"$22,995",3621,2022
"$22,999",3639,2022
"$20,666",3708,2020
"$24,875",3735,2022
"$24,548",3760,2022
"$22,990",3805,2021
"$21,788",3849,2022
"$22,998",3875,2020
"$23,980",3943,2022
"$23,538",3950,2022
"$20,664",3956,2021
"$26,696",3990,2022
"$24,250",4090,2022
"$22,659",4127,2020
"$19,500",4149,2022
"$24,980",4187,2022
"$21,999",4200,2021
"$18,199",4245,2018
"$24,998",4276,2020
"$22,677",4291,2022
"$23,975",4410,2022
"$16,998",4429,2017
"$24,998",4510,2022
"$21,560",4627,2022
"$23,607",4714,2022
"$22,499",4776,2020
"$21,998",4812,2015
"$24,999",4827,2022
"$21,887",4855,2022
"$21,995",4860,2020
"$23,499",4861,2022
"$21,998",4965,2020
"$24,999",5066,2022
"$19,995",5075,2018
"$25,732",5098,2020
"$25,999",5099,2022
"$24,000",5137,2022
"$23,891",5158,2022
"$22,998",5213,2020
"$23,379",5261,2022
"$21,578",5284,2022
"$21,251",5286,2021
"$23,590",5301,2021
"$21,990",5327,2020
"$21,995",5335,2020
"$24,491",5344,2022
"$21,000",5349,2020
"$24,998",5371,2021
"$24,991",5405,2022
"$20,995",5457,2020
"$24,488",5482,2022
"$22,991",5500,2022
"$26,499",5562,2022
"$19,993",5589,2018
"$23,000",5622,2022
"$22,900",5659,2020
"$26,775",5659,2022
"$23,998",5689,2022
"$20,998",5693,2021
"$22,590",5741,2020
"$21,974",5746,2020
"$23,999",5752,2022
"$21,990",5758,2017
"$27,299",5799,2022
"$24,998",5800,2022
"$22,995",5801,2022
"$24,998",5804,2022
"$23,888",5807,2022
"$21,991",5848,2020
"$24,975",5852,2022
"$25,995",5874,2022
"$23,500",5876,2022
"$20,590",5946,2017
"$20,790",5991,2021
"$26,299",6021,2021
"$21,899",6040,2021
"$20,668",6151,2022
"$25,998",6217,2022
"$24,488",6231,2022
"$22,991",6328,2022
"$22,809",6331,2022
"$22,995",6333,2022
"$20,444",6357,2022
"$19,500",6381,2022
"$24,563",6382,2022
"$22,998",6398,2022
"$21,599",6423,2022
"$20,900",6437,2020
"$20,987",6449,2022
"$19,995",6450,2020
"$20,998",6617,2022
"$22,801",6650,2022
"$20,850",6651,20850
"$21,424",6707,2021
"$22,990",6771,2022
"$21,951",6806,2022
"$24,969",6848,2022
"$19,991",6849,2021
"$21,981",6855,2022
"$24,590",6877,2022
"$21,119",6921,2021
"$19,900",6928,2022
"$24,350",6930,2021
"$21,575",6945,2021
"$23,181",7010,2022
"$24,956",7065,2022
"$23,995",7131,2021
"$23,998",7143,2022
"$21,888",7149,2020
"$23,000",7210,2020
"$23,000",7291,2020
"$23,344",7292,2022
"$25,992",7299,2022
"$22,998",7343,2020
"$23,499",7347,2022
"$24,148",7348,2022
"$21,998",7365,2020
"$24,618",7375,2022
"$24,036",7390,2022
"$22,499",7497,2020
"$23,000",7500,2022
"$21,999",7512,2020
"$20,990",7515,2020
"$20,900",7516,2022
"$23,998",7525,2021
"$25,995",7553,2022
"$23,999",7568,2022
"$23,499",7580,2022
"$24,991",7617,2022
"$23,900",7888,2020
"$23,998",7952,2022
"$22,434",8003,2022
"$23,998",8057,2022
"$24,528",8076,2022
"$22,597",8089,2022
"$22,610",8165,2022
"$20,998",8181,2020
"$23,992",8263,2020
"$24,195",8277,2022
"$26,019",8323,2022
"$22,495",8337,2022
"$24,504",8427,2022
"$27,499",8428,2022
"$24,680",8439,2020
"$24,997",8448,2022
"$22,580",8450,2022
"$22,470",8563,2022
"$25,995",8595,2021
"$21,998",8606,2019
"$24,990",8626,2022
"$23,990",8631,2022
"$24,900",8772,2022
"$22,925",8793,2020
"$22,999",8826,2022
"$23,989",8847,2021
"$20,590",8919,2017
"$23,081",8975,2022
"$18,975",8976,2017
"$22,990",9009,2022
"$22,500",9066,2022
"$21,998",9069,2020
"$21,250",9101,2021
"$21,755",10014,201
"$24,900",10020,2022
"$23,995",10047,2021
"$23,802",10055,2022
"$18,994",10079,2021
"$23,888",10109,2022
"$11,995",213428,2016
"$22,500",10129,2022
"$22,497",10168,2020
"$23,020",10189,2021
"$25,924",11065,2022
"$21,888",11081,2020
"$15,499",11170,2019
"$24,316",11216,2022
"$22,995",11274,2021
"$22,991",12838,2020
"$18,900",14637,2020
"$21,073",16000,2022
"$23,998",16069,2022
"$20,590",16109,2019
"$9,500",219562,2016
"$10,995",233400,2016
"$8,900",195333,2014
"$9,500",195558,2014
"$10,795",197370,2014
"$11,990",203000,2017
"$8,495",180702,2015
"$8,499",182767,2014
"$8,992",184473,2016
"$11,999",185033,2014
"$9,967",186035,2017
"$8,990",187278,2015
"$9,141",188078,2017
"$9,995",172498,2014
"$10,798",175427,2014
"$8,000",175467,2014
"$9,952",177655,2015
"$9,995",165373,2014
"$11,994",166060,2018
"$11,995",166746,2016
"$10,900",168215,2015
"$11,969",168884,2015
"$10,900",161553,2015
"$9,299",163742,2015
"$12,900",163885,2014
"$10,800",164455,2014
"$11,290",164531,2015
"$11,400",156120,2018
"$13,999",156445,2016
"$14,362",156642,2018
"$13,789",156839,2014
"$13,383",157562,2017
"$10,795",158422,2014
"$12,295",151751,2016
"$13,999",151837,2020
"$11,495",152940,2018
"$13,996",153784,2017
"$10,387",155793,2014
"$11,867",147820,2015
"$14,995",147839,2016
"$16,500",148354,2021
"$6,500",148500,2016
"$12,084",149287,2018
"$10,675",149574,2014
"$11,990",150067,2014
"$10,680",151648,2015
"$12,774",145482,2018
"$11,451",145486,2014
"$10,998",145797,2014
"$13,995",145797,2016
"$12,359",145815,2015
"$12,495",146154,2017
"$13,500",142080,2018
"$11,995",142128,2014
"$13,459",142457,2014
"$12,000",142877,2017
"$11,980",143027,2014
"$12,290",143234,2015
"$13,800",143534,2017
"$15,999",143723,2019
"$11,589",144128,2015
"$11,999",144691,2017
"$12,399",140800,2016
"$14,995",140930,2015
"$9,490",141643,2014
"$13,995",141665,2018
"$13,675",141745,2017
"$9,893",137470,2014
"$12,838",137951,2014
"$12,990",139524,2016
"$11,455",135032,2014
"$10,990",135187,2016
"$15,900",135273,2017
"$10,995",135355,2014
"$11,950",135675,2014
"$13,999",135902,2018
"$9,985",133595,2014
"$12,995",134180,2018
"$11,983",134316,2015
"$12,495",134763,2015
"$12,389",131492,2016
"$12,799",131561,2017
"$13,988",131883,2019
"$11,899",131901,2016
"$13,998",131927,2018
"$14,995",132520,2020
"$13,997",129691,2018
"$13,799",130000,2016
"$13,950",130164,2017
"$16,377",130402,2020
"$12,991",130540,2018
"$14,992",130618,2018
"$11,490",131000,2015
"$16,998",131203,2020
"$13,995",128599,2019
"$12,995",128704,2014
"$11,995",128966,2015
"$21,995",128994,2014
"$14,000",129234,2018
"$12,200",129463,2014
"$12,888",126471,2016
"$12,995",126956,2016
"$12,785",127545,2016
"$14,946",124687,2018
"$16,995",124830,2019
"$11,590",125261,2016
"$13,998",125347,2014
"$11,966",125750,2018
"$16,999",125753,2021
"$14,299",123236,2018
"$12,900",124011,2016
"$14,750",124036,2019
"$12,999",124116,2016
"$12,990",124144,2015
"$12,998",124376,2018
"$13,495",122436,2017
"$13,995",122489,2017
"$13,995",122595,2020
"$10,550",122602,2016
"$10,950",122887,2015
"$11,995",122989,2014
"$14,885",123017,2018
"$13,966",123141,2018
"$12,554",123172,2016
"$14,998",123209,2015
"$15,998",120810,2017
"$14,969",121130,2015
"$13,996",121138,2020
"$15,499",121312,2018
"$16,995",121339,2018
"$15,995",121374,2019
"$13,177",121727,2016
"$15,995",119421,2018
"$14,353",119465,2017
"$14,500",120222,2020
"$15,995",120361,2019
"$13,177",120403,2016
"$14,990",120468,2019
"$13,353",120520,2018
"$11,989",120555,2015
"$11,495",118432,2015
"$12,500",119000,2014
"$17,990",119079,2020
"$11,991",116545,2014
"$10,995",116645,2016
"$13,499",116911,2018
"$13,277",116951,2016
"$14,990",117006,2015
"$15,746",117062,2018
"$13,995",117199,2015
"$15,998",117358,2018
"$15,998",117362,2017
"$12,990",117382,2014
"$14,990",115479,2016
"$13,500",115678,2020
"$14,998",115683,2014
"$15,191",115791,2020
"$13,499",115931,2015
"$13,100",116061,2015
"$16,999",116141,2017
"$14,998",116145,2014
"$11,499",116171,2014
"$15,998",116306,2017
"$15,998",116442,2017
"$13,955",114438,2017
"$13,988",114652,2017
"$12,690",114740,2015
"$14,280",114747,2016
"$12,190",115322,2014
"$14,999",113925,2017
"$11,995",114043,2017
"$13,995",114129,2015
"$17,670",114131,2020
"$13,795",114178,2015
"$11,993",114190,2014
"$13,999",112400,2018
"$14,320",112476,2017
"$13,990",112982,2019
"$14,499",113106,2018
"$9,995",113593,2016
"$12,981",113704,2014
"$16,904",111175,2019
"$14,995",111284,2019
"$16,499",111597,2016
"$14,999",111620,2019
"$13,995",112000,2018
"$15,500",112116,2017
"$12,899",110152,2014
"$12,991",110196,2016
"$14,995",110395,2017
"$11,995",110761,2016
"$16,995",110867,2020
"$13,924",111009,2016
"$12,659",10900,2014
"$14,991",109402,2020
"$11,300",109645,2017
"$15,000",110045,2019
"$16,998",110048,2015
"$12,659",109000,2014
"$14,991",109402,2020
"$11,300",109645,2017
"$15,000",110045,2019
"$16,998",110048,2015
"$15,703",108171,2017
"$15,999",108342,2017
"$15,995",108423,2017
"$10,995",108471,2014
"$14,999",108678,2020
"$13,990",106818,2016
"$16,900",106879,2019
"$17,995",105163,2019
"$15,900",105305,2020
"$16,999",105336,2020
"$12,888",105489,2016
"$15,900",105609,2019
"$18,995",105710,2019
"$10,495",105800,2015
"$11,500",105803,2014
"$14,991",105869,2017
"$14,598",106261,2014
"$15,500",103895,2017
"$12,900",104215,2015
"$13,990",104355,2016
"$13,999",104443,2015
"$14,599",104643,2018
"$12,900",104669,2017
"$13,998",104678,2019
"$19,000",104728,2019
"$15,999",103047,2020
"$15,998",103166,2015
"$13,404",103339,2015
"$11,999",103490,2014
"$14,999",103500,2018
"$15,990",103523,2020
"$12,990",103562,2016
"$17,900",103625,2021
"$10,500",103855,2016
"$19,298",102116,2016
"$12,744",102214,2014
"$13,950",102279,2014
"$10,900",102317,2016
"$15,998",102325,2017
"$17,900",102391,2020
"$15,900",102475,2020
"$13,149",102495,2017
"$16,999",102641,2018
"$16,393",103029,2019
"$14,899",101330,2019
"$9,987",101661,2017
"$14,888",101696,2017
"$18,990",101717,2020
"$13,998",101752,2015
"$16,480",102012,2019
"$13,751",100366,2014
"$14,998",100386,2014
"$14,899",100673,2018
"$16,995",100826,2019
"$15,990",100875,2019
"$14,498",101075,2016
"$14,998",101114,2014
"$11,888",101168,2014
"$13,695",101195,2016
"$13,999",99495,2016
"$18,067",99518,2019
"$14,945",99531,2017
"$13,000",99606,2015
"$13,995",99647,2016
"$13,990",100000,2017
"$15,995",100001,2017
"$13,995",100311,2016
"$16,995",100315,2019
"$15,995",98750,2015
"$15,995",98750,2015
"$13,750",98911,2015
"$14,953",98929,2017
"$15,781",98952,2018
"$14,137",98988,2015
"$13,995",99057,2017
"$13,491",99229,2015
"$16,999",99400,2019
"$17,995",97860,2020
"$14,499",97900,2017
"$13,495",97999,2015
"$16,990",98078,2020
"$17,500",98108,2021
"$14,491",98113,2016
"$15,995",98250,2014
"$15,900",97100,2018
"$14,995",97187,2015
"$16,998",97316,2018
"$15,997",97417,2017
"$15,995",97450,2015
"$15,900",97528,2017
"$14,500",97624,2017
"$15,822",97628,2018
"$14,895",97652,2015
"$10,995",97700,2017
"$14,990",96224,2019
"$13,994",96540,2018
"$17,777",96570,2020
"$10,998",96584,2017
"$16,800",96607,2018
"$14,887",96669,2018
"$16,500",96747,2020
"$15,995",96848,2019
"$15,998",96869,2015
"$16,998",96884,2016
"$14,998",97008,2014
"$12,967",95077,2016
"$14,995",95137,2017
"$15,519",95235,2018
"$14,995",95381,2016
"$15,200",95432,2019
"$17,998",95566,2020
"$16,999",95713,2020
"$14,289",95999,2016
"$11,990",96090,2014
"$14,994",96140,2017
"$16,000",94424,2018
"$16,999",94456,2021
"$15,995",94551,2017
"$17,777",94614,2017
"$17,995",94663,2017
"$14,999",94705,2020
"$14,994",94745,2017
"$14,998",94826,2015
"$18,995",94840,2020
"$11,990",93500,2015
"$15,426",93512,2017
"$14,995",93733,2015
"$17,243",93804,2020
"$13,990",93852,2015
"$14,891",93899,2017
"$16,890",93926,2019
"$10,499",94236,2014
"$12,995",94276,2017
"$15,699",92825,2020
"$16,998",92910,2018
"$14,500",92932,2018
"$17,795",93122,2018
"$13,910",93127,2019
"$15,089",93235,2020
"$18,211",93297,2020
"$17,229",93367,2020
"$14,999",93379,2017
"$17,990",92197,2020
"$16,000",92243,2016
"$12,991",92244,2015
"$17,999",92384,2020
"$15,500",92600,2017
"$19,999",92607,2021
"$16,870",92655,2019
"$16,136",92726,2017
"$15,994",92733,2018
"$16,998",92735,2018
"$14,995",92803,2019
"$14,493",91472,2016
"$16,991",91480,2016
"$14,998",91486,2014
"$14,900",91516,2020
"$14,497",91521,2019
"$17,495",91572,2020
"$14,489",91632,2014
"$18,999",91643,2019
"$14,899",91705,2020
"$15,499",91714,2018
"$14,990",91725,2016
"$15,966",91889,2020
"$13,930",90790,2019
"$13,989",90808,2015
"$15,283",90878,2017
"$17,237",90985,2020
"$14,805",90999,2017
"$15,995",91042,2016
"$16,995",91105,2018
"$15,500",91113,2016
"$16,499",91351,2020
"$13,691",91356,2016
"$17,499",91377,2018
"$12,995",90183,2014
"$18,999",90237,2020
"$14,990",90379,2017
"$15,994",90381,2017
"$15,985",90385,2020
"$13,999",90394,2015
"$15,400",90396,2017
"$18,995",90443,2020
"$15,995",90531,2016
"$15,995",90636,2019
"$16,998",90646,2017
"$18,995",90653,2020
"$12,995",89402,2015
"$19,195",89450,2020
"$16,841",89594,2017
"$15,995",89750,2016
"$15,499",89758,2014
"$14,990",89767,2016
"$16,998",89839,2018
"$17,999",88622,2019