name,id,sis_id,root_account,section,section_id,section_sis_id,submitted,attempt,"53457908: All times for gatherings in this survey are listed in U.S. Mountain Time. You will need to use a Time Zone Converter to know what each day and time is in your local timezone. Practice using the converter by converting 5:00 pm U.S. Mountain Time (Salt Lake City) to your local time zone.
Were you able to use he converter to correctly figure out what 5:00 pm U.S. Mountain Time is in your local time?",1,"53457918: For each of the days and times below, indicate how likely it is that you can attend an online gathering every week on that same day and time.
The Gathering Assistant will assign you to a gathering group according to student responses to this survey. You will need to commit to attending your assigned gathering, at the same time every week.
Convert each time from U.S. Mountain Time (Salt Lake City) to your local time - Time Zone Converter.",0,"53457922: Wednesday, 4:00 pm U.S. Mountain Time [W4]",1,"53458068: Wednesday, 5:00 pm U.S. Mountain Time [W5]",1,"53458112: Wednesday, 6:00 pm U.S. Mountain Time [W5]",1,"53458182: Wednesday, 7:00 pm U.S. Mountain Time [W5]",1,"53458264: Wednesday, 8:00 pm U.S. Mountain Time [W5]",1,"53458294: Wednesday, 9:00 pm U.S. Mountain Time [W5]",1,"53458296: Thursday, 4:00 pm U.S. Mountain Time [W5]",1,"53458322: Thursday, 5:00 pm U.S. Mountain Time [W5]",1,"53458332: Thursday, 6:00 pm U.S. Mountain Time [W5]",1,"53458368: Thursday, 7:00 pm U.S. Mountain Time [W5]",1,"53458376: Thursday, 8:00 pm U.S. Mountain Time [W5]",1,"53458384: Thursday, 9:00 pm U.S. Mountain Time [W5]",1,n correct,n incorrect,score
Student 1,34729,1,byui.instructure.com,James Findlay Sandbox,6325,1001,2022-10-14 16:20:31 UTC,1,Yes,1,,0,Likely,1,Likely,1,Maybe,0,Maybe,0,Unlikely,0,Unlikely,0,Likely,1,Likely,1,Maybe,0,Unlikely,0,Unlikely,0,Unlikely,0,6,8,10
Student 2,34728,2,byui.instructure.com,James Findlay Sandbox,6325,1001,2022-10-14 16:18:47 UTC,1,Yes,1,,0,Unlikely,0,Unlikely,0,Likely,1,Likely,1,Maybe,0,Unlikely,0,Unlikely,0,Maybe,0,Maybe,0,Likely,1,Unlikely,0,Unlikely,0,5,9,10
Student 3,34727,3,byui.instructure.com,James Findlay Sandbox,6325,1001,2022-10-14 16:20:31 UTC,1,Yes,1,,0,,,,,,,,,,,,,,,,,Likely,,,,,,,,,,
Student 4,34726,4,byui.instructure.com,James Findlay Sandbox,6325,1001,2022-10-14 16:18:47 UTC,1,Yes,1,,0,Likely,,Unlikely,,Likely,,Likely,,Unlikely,,Unlikely,,Unlikely,,Unlikely,,Likely,,Unlikely,,Unlikely,,Unlikely,,,,
Student 5,34725,5,byui.instructure.com,James Findlay Sandbox,6325,1001,2022-10-14 16:20:31 UTC,1,Yes,1,,0,Maybe,,Likely,,Likely,,Unlikely,,Maybe,,Unlikely,,Unlikely,,Unlikely,,Maybe,,Unlikely,,Maybe,,Unlikely,,,,
Student 6,34724,6,byui.instructure.com,James Findlay Sandbox,6325,1001,2022-10-14 16:18:47 UTC,1,Yes,1,,0,Likely,,Unlikely,,Unlikely,,Maybe,,Unlikely,,Unlikely,,Likely,,Maybe,,Unlikely,,Maybe,,Unlikely,,Maybe,,,,
Student 7,34723,7,byui.instructure.com,James Findlay Sandbox,6325,1001,2022-10-14 16:20:31 UTC,1,Yes,1,,0,Unlikely,,Unlikely,,Likely,,Unlikely,,Likely,,Unlikely,,Unlikely,,Unlikely,,Likely,,Unlikely,,Likely,,Unlikely,,,,
Student 8,34722,8,byui.instructure.com,James Findlay Sandbox,6325,1001,2022-10-14 16:18:47 UTC,1,Yes,1,,0,Likely,,Maybe,,Unlikely,,Likely,,Unlikely,,Unlikely,,Unlikely,,Unlikely,,Unlikely,,Likely,,Unlikely,,Unlikely,,,,
Student 9,34721,9,byui.instructure.com,James Findlay Sandbox,6325,1001,2022-10-14 16:20:31 UTC,1,Yes,1,,0,Unlikely,,Unlikely,,Unlikely,,Unlikely,,Unlikely,,Unlikely,,Likely,,Likely,,Unlikely,,Unlikely,,Unlikely,,Unlikely,,,,
Student 10,34720,10,byui.instructure.com,James Findlay Sandbox,6325,1001,2022-10-14 16:18:47 UTC,1,Yes,1,,0,Unlikely,,Unlikely,,Unlikely,,Likely,,Unlikely,,Unlikely,,Unlikely,,Maybe,,Unlikely,,Likely,,Unlikely,,Maybe,,,,
Student 11,34719,11,byui.instructure.com,James Findlay Sandbox,6325,1001,2022-10-14 16:20:31 UTC,1,Yes,1,,0,Unlikely,,Unlikely,,Unlikely,,Unlikely,,Maybe,,Unlikely,,Unlikely,,Likely,,Unlikely,,Maybe,,Likely,,Likely,,,,
Student 12,34718,12,byui.instructure.com,James Findlay Sandbox,6325,1001,2022-10-14 16:18:47 UTC,1,Yes,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Student 13,34717,13,byui.instructure.com,James Findlay Sandbox,6325,1001,2022-10-14 16:20:31 UTC,2,Yes,1,,0,Unlikely,,Unlikely,,Unlikely,,Unlikely,,Likely,,Maybe,,Unlikely,,Unlikely,,Unlikely,,Likely,,Likely,,Likely,,,,
Student 14,34716,14,byui.instructure.com,James Findlay Sandbox,6325,1001,2022-10-14 16:18:47 UTC,1,Yes,1,,0,Likely,,Maybe,,Maybe,,Likely,,Maybe,,Maybe,,Likely,,Likely,,Unlikely,,Likely,,Unlikely,,Likely,,,,
Student 15,34715,15,byui.instructure.com,James Findlay Sandbox,6325,1001,2022-10-14 16:20:31 UTC,1,Yes,1,,0,Likely,,Maybe,,Unlikely,,Likely,,Unlikely,,Maybe,,Likely,,Likely,,Unlikely,,Likely,,Unlikely,,Likely,,,,
Student 16,34714,16,byui.instructure.com,James Findlay Sandbox,6325,1001,2022-10-14 16:18:47 UTC,1,Yes,1,,0,Likely,,Likely,,Likely,,Likely,,Likely,,Likely,,Likely,,Likely,,Likely,,Likely,,Likely,,Likely,,,,
Student 17,34713,17,byui.instructure.com,James Findlay Sandbox,6325,1001,2022-10-14 16:20:31 UTC,1,Yes,1,,0,Likely,,Likely,,Unlikely,,Likely,,Unlikely,,Likely,,Likely,,Likely,,Unlikely,,Likely,,Unlikely,,Likely,,,,
Student 18,34712,18,byui.instructure.com,James Findlay Sandbox,6325,1001,2022-10-14 16:18:47 UTC,1,Yes,1,,0,Unlikely,,Unlikely,,Unlikely,,Likely,,Unlikely,,Unlikely,,Unlikely,,Likely,,Unlikely,,Likely,,Unlikely,,Likely,,,,
Student 19,34711,19,byui.instructure.com,James Findlay Sandbox,6325,1001,2022-10-14 16:20:31 UTC,1,Yes,1,,0,Likely,,Maybe,,Unlikely,,Likely,,Unlikely,,Unlikely,,Unlikely,,Unlikely,,Unlikely,,Likely,,Unlikely,,Likely,,,,
Student 20,34710,20,byui.instructure.com,James Findlay Sandbox,6325,1001,2022-10-14 16:18:47 UTC,1,Yes,1,,0,Likely,,Likely,,Likely,,Maybe,,Maybe,,Likely,,Maybe,,Maybe,,Maybe,,Maybe,,Maybe,,Maybe,,,,
Student 21,34709,21,byui.instructure.com,James Findlay Sandbox,6325,1001,2022-10-14 16:20:31 UTC,1,Yes,1,,0,Unlikely,,Unlikely,,Unlikely,,Unlikely,,Unlikely,,Unlikely,,Unlikely,,Unlikely,,Maybe,,Unlikely,,Maybe,,Unlikely,,,,
Student 22,34708,22,byui.instructure.com,James Findlay Sandbox,6325,1001,2022-10-14 16:18:47 UTC,1,Yes,1,,0,Likely,,Likely,,Likely,,Maybe,,Maybe,,Maybe,,Maybe,,Unlikely,,Likely,,Maybe,,Maybe,,Unlikely,,,,
Student 23,34707,23,byui.instructure.com,James Findlay Sandbox,6325,1001,2022-10-14 16:20:31 UTC,1,Yes,1,,0,Unlikely,,Unlikely,,Maybe,,Likely,,Unlikely,,Unlikely,,Unlikely,,Likely,,Likely,,Likely,,Unlikely,,Likely,,,,
Student 24,34706,24,byui.instructure.com,James Findlay Sandbox,6325,1001,2022-10-14 16:18:47 UTC,2,Yes,1,,0,Likely,,Unlikely,,Unlikely,,Unlikely,,Unlikely,,Likely,,Likely,,Unlikely,,Unlikely,,Unlikely,,Unlikely,,Unlikely,,,,
Student 25,34705,25,byui.instructure.com,James Findlay Sandbox,6325,1001,2022-10-14 16:20:31 UTC,1,Yes,1,,0,Maybe,,Unlikely,,Unlikely,,Unlikely,,Unlikely,,Maybe,,Likely,,Unlikely,,Unlikely,,Unlikely,,Unlikely,,Unlikely,,,,
Student 26,34704,26,byui.instructure.com,James Findlay Sandbox,6325,1001,2022-10-14 16:18:47 UTC,1,Yes,1,,0,Likely,,Unlikely,,Unlikely,,Likely,,Unlikely,,Unlikely,,Likely,,Unlikely,,Unlikely,,Likely,,Unlikely,,Unlikely,,,,
Student 27,34703,27,byui.instructure.com,James Findlay Sandbox,6325,1001,2022-10-14 16:20:31 UTC,1,Yes,1,,0,Likely,,Maybe,,Unlikely,,Maybe,,Unlikely,,Maybe,,Likely,,Maybe,,Unlikely,,Unlikely,,Unlikely,,Unlikely,,,,
Student 28,34702,28,byui.instructure.com,James Findlay Sandbox,6325,1001,2022-10-14 16:18:47 UTC,2,Yes,1,,0,Likely,,Maybe,,Unlikely,,Likely,,Unlikely,,Maybe,,Likely,,Likely,,Unlikely,,Likely,,Unlikely,,Unlikely,,,,
Student 29,34701,29,byui.instructure.com,James Findlay Sandbox,6325,1001,2022-10-14 16:20:31 UTC,1,Yes,1,,0,Unlikely,,Unlikely,,Maybe,,Unlikely,,Likely,,Unlikely,,Unlikely,,Unlikely,,Maybe,,Unlikely,,Likely,,Unlikely,,,,
Student 30,34700,30,byui.instructure.com,James Findlay Sandbox,6325,1001,2022-10-14 16:18:47 UTC,1,Yes,1,,0,Maybe,,Maybe,,Unlikely,,Unlikely,,Likely,,Maybe,,Maybe,,Unlikely,,Unlikely,,Unlikely,,Likely,,Unlikely,,,,
Student 31,34699,31,byui.instructure.com,James Findlay Sandbox,6325,1001,2022-10-14 16:20:31 UTC,1,Yes,1,,0,Maybe,,Unlikely,,Unlikely,,Likely,,Unlikely,,Unlikely,,Maybe,,Likely,,Unlikely,,Likely,,Unlikely,,Likely,,,,
Student 32,34698,32,byui.instructure.com,James Findlay Sandbox,6325,1001,2022-10-14 16:18:47 UTC,1,Yes,1,,0,Unlikely,,Unlikely,,Unlikely,,Unlikely,,Unlikely,,Unlikely,,Unlikely,,Unlikely,,Likely,,Unlikely,,Unlikely,,Unlikely,,,,
Student 33,34697,33,byui.instructure.com,James Findlay Sandbox,6325,1001,2022-10-14 16:20:31 UTC,1,Yes,1,,0,Likely,,Likely,,Likely,,Maybe,,Likely,,Likely,,Likely,,Maybe,,Likely,,Maybe,,Likely,,Maybe,,,,
Student 34,34696,34,byui.instructure.com,James Findlay Sandbox,6325,1001,2022-10-14 16:18:47 UTC,1,Yes,1,,0,Unlikely,,Maybe,,Likely,,Unlikely,,Unlikely,,Maybe,,Unlikely,,Unlikely,,Maybe,,Unlikely,,Unlikely,,Unlikely,,,,
Student 35,34695,35,byui.instructure.com,James Findlay Sandbox,6325,1001,2022-10-14 16:20:31 UTC,1,Yes,1,,0,Likely,,Likely,,Maybe,,Maybe,,Maybe,,Unlikely,,Unlikely,,Unlikely,,Unlikely,,Unlikely,,Maybe,,Unlikely,,,,
Student 36,34694,36,byui.instructure.com,James Findlay Sandbox,6325,1001,2022-10-14 16:18:47 UTC,1,Yes,1,,0,Maybe,,Unlikely,,Unlikely,,Unlikely,,Unlikely,,Unlikely,,Maybe,,Unlikely,,Unlikely,,Likely,,Unlikely,,Likely,,,,
Student 37,34693,37,byui.instructure.com,James Findlay Sandbox,6325,1001,2022-10-14 16:20:31 UTC,1,Yes,1,,0,,,,,,,Likely,,,,,,,,,,,,,,,,,,,,
Student 38,34692,38,byui.instructure.com,James Findlay Sandbox,6325,1001,2022-10-14 16:18:47 UTC,1,Yes,1,,0,Likely,,Maybe,,Unlikely,,Likely,,Unlikely,,Unlikely,,Likely,,Likely,,Unlikely,,Maybe,,Unlikely,,Maybe,,,,
Student 39,34691,39,byui.instructure.com,James Findlay Sandbox,6325,1001,2022-10-14 16:20:31 UTC,1,Yes,1,,0,Unlikely,,Unlikely,,Maybe,,Unlikely,,Maybe,,Unlikely,,Unlikely,,Unlikely,,Likely,,Maybe,,Likely,,Maybe,,,,
Student 40,34690,40,byui.instructure.com,James Findlay Sandbox,6325,1001,2022-10-14 16:18:47 UTC,2,Yes,1,,0,Unlikely,,Unlikely,,Unlikely,,Unlikely,,Unlikely,,Unlikely,,Unlikely,,Likely,,Unlikely,,Maybe,,Maybe,,Likely,,,,
Student 41,34689,41,byui.instructure.com,James Findlay Sandbox,6325,1001,2022-10-14 16:20:31 UTC,1,Yes,1,,0,Unlikely,,Unlikely,,Unlikely,,Likely,,Maybe,,Unlikely,,Unlikely,,Unlikely,,Unlikely,,Likely,,Likely,,Unlikely,,,,
Student 42,34688,42,byui.instructure.com,James Findlay Sandbox,6325,1001,2022-10-14 16:18:47 UTC,1,Yes,1,,0,Unlikely,,Likely,,Likely,,Likely,,Likely,,Maybe,,Unlikely,,Unlikely,,Maybe,,Unlikely,,Likely,,Unlikely,,,,
Student 43,34687,43,byui.instructure.com,James Findlay Sandbox,6325,1001,2022-10-14 16:20:31 UTC,1,Yes,1,,0,Unlikely,,Maybe,,Likely,,Unlikely,,Likely,,Likely,,Likely,,Likely,,Likely,,Unlikely,,Likely,,Unlikely,,,,
Student 44,34686,44,byui.instructure.com,James Findlay Sandbox,6325,1001,2022-10-14 16:18:47 UTC,1,Yes,1,,0,Unlikely,,Unlikely,,Unlikely,,Unlikely,,Unlikely,,Unlikely,,Likely,,Likely,,Unlikely,,Likely,,Unlikely,,Likely,,,,
Student 45,34685,45,byui.instructure.com,James Findlay Sandbox,6325,1001,2022-10-14 16:20:31 UTC,1,Yes,1,,0,Unlikely,,Unlikely,,Unlikely,,Likely,,Unlikely,,Unlikely,,Unlikely,,Likely,,Likely,,Likely,,Likely,,Likely,,,,
Student 46,34684,46,byui.instructure.com,James Findlay Sandbox,6325,1001,2022-10-14 16:18:47 UTC,1,Yes,1,,0,Likely,,,,,,Unlikely,,Unlikely,,,,,,,,,,,,,,,,,,
Student 47,34683,47,byui.instructure.com,James Findlay Sandbox,6325,1001,2022-10-14 16:20:31 UTC,1,Yes,1,,0,Unlikely,,Likely,,Likely,,Unlikely,,Unlikely,,Likely,,Unlikely,,Unlikely,,Unlikely,,Unlikely,,Unlikely,,Unlikely,,,,
Student 48,34682,48,byui.instructure.com,James Findlay Sandbox,6325,1001,2022-10-14 16:18:47 UTC,1,Yes,1,,0,Likely,,Unlikely,,Unlikely,,Maybe,,Unlikely,,Unlikely,,Likely,,Maybe,,Unlikely,,Maybe,,Unlikely,,Maybe,,,,
Student 49,34681,49,byui.instructure.com,James Findlay Sandbox,6325,1001,2022-10-14 16:20:31 UTC,1,Yes,1,,0,Likely,,Likely,,Maybe,,Likely,,Maybe,,Likely,,Likely,,Likely,,Maybe,,Likely,,Maybe,,Likely,,,,
Student 50,34680,50,byui.instructure.com,James Findlay Sandbox,6325,1001,2022-10-14 16:18:47 UTC,1,Yes,1,,0,Unlikely,,Maybe,,Maybe,,Unlikely,,Likely,,Maybe,,Maybe,,Maybe,,Unlikely,,Unlikely,,Likely,,Likely,,,,